t_s,x_m,y_m
6.782,0.020346,-0.0011741210005115977
6.784,0.020352,-0.0012431267429798387
6.7860000000000005,0.020358,-0.0013113472999528193
6.788,0.020364,-0.0013787395818644797
6.79,0.02037,-0.0014452610223051204
6.792,0.020376,-0.0015108696049072534
6.7940000000000005,0.020382,-0.0015755238898838904
6.796,0.020388,-0.0016391830402028068
6.798,0.020394,-0.0017018068473802653
6.8,0.0204,-0.0017633557568774115
6.8020000000000005,0.020406,-0.0018237908930838385
6.804,0.020412,-0.0018830740838720863
6.806,0.020418000000000002,-0.0019411678847083148
6.808,0.020424,-0.0019980356023027333
6.8100000000000005,0.02043,-0.0020536413177860728
6.812,0.020436000000000003,-0.0021079499093965507
6.814,0.020442000000000002,-0.0021609270746637205
6.816,0.020448,-0.0022125393520745183
6.8180000000000005,0.020454000000000003,-0.002262754142208305
6.82,0.020460000000000002,-0.0023115397283273585
6.822,0.020466,-0.002358865296409845
6.824,0.020472,-0.0024047009546126156
6.8260000000000005,0.020478000000000003,-0.00244901775215156
6.828,0.020484000000000002,-0.002491787697587443
6.83,0.02049,-0.0025329837765060478
6.832,0.020496,-0.002572579968580957
6.8340000000000005,0.020502000000000003,-0.002610551264008575
6.836,0.020508000000000002,-0.0026468736793048555
6.838,0.020514,-0.002681524272453785
6.84,0.02052,-0.0027144811573980507
6.8420000000000005,0.020526000000000003,-0.0027457235178627607
6.844,0.020532,-0.00277523162050338
6.846,0.020538,-0.0028029868273698397
6.848,0.020544,-0.0028289716076785954
6.8500000000000005,0.020550000000000002,-0.002853169548885461
6.852,0.020556,-0.0028755653670521266
6.854,0.020562,-0.0028961449164998194
6.856,0.020568,-0.0029148951987440185
6.8580000000000005,0.020574000000000002,-0.0029318043707045856
6.86,0.02058,-0.0029468617521860698
6.862,0.020586,-0.0029600578326235997
6.864,0.020592,-0.002971384277089949
6.8660000000000005,0.020598,-0.0029808339315600257
6.868,0.020604,-0.0029884008274295177
6.87,0.02061,-0.0029940801852848145
6.872,0.020616,-0.0029978684179217674
6.8740000000000006,0.020622,-0.0029997631326114486
6.876,0.020628,-0.0029997631326114486
6.878,0.020634,-0.0029978684179217687
6.88,0.02064,-0.0029940801852848162
6.882000000000001,0.020646,-0.0029884008274295164
6.884,0.020652,-0.0029808339315600244
6.886,0.020658,-0.0029713842770899535
6.888,0.020664000000000002,-0.002960057832623605
6.890000000000001,0.02067,-0.0029468617521860676
6.892,0.020676,-0.002931804370704583
6.894,0.020682000000000002,-0.002914895198744026
6.896,0.020688,-0.0028961449164998272
6.898000000000001,0.020694,-0.002875565367052123
6.9,0.020700000000000003,-0.0028531695488854575
6.902,0.020706000000000002,-0.0028289716076785915
6.904,0.020712,-0.0028029868273698353
6.906000000000001,0.020718000000000004,-0.002775231620503375
6.908,0.020724000000000003,-0.002745723517862756
6.91,0.020730000000000002,-0.0027144811573980637
6.912,0.020736,-0.002681524272453799
6.914,0.020742,-0.0026468736793048703
6.916,0.020748000000000003,-0.002610551264008569
6.918,0.020754,-0.002572579968580951
6.92,0.02076,-0.0025329837765060417
6.922,0.020766,-0.0024917876975874605
6.924,0.020772000000000002,-0.0024490177521515537
6.926,0.020778,-0.002404700954612634
6.928,0.020784,-0.002358865296409864
6.93,0.02079,-0.0023115397283273785
6.932,0.020796000000000002,-0.0022627541422082977
6.934,0.020802,-0.0022125393520745105
6.936,0.020808,-0.002160927074663742
6.938,0.020814,-0.002107949909396573
6.94,0.02082,-0.002053641317786064
6.942,0.020826,-0.0019980356023027563
6.944,0.020832,-0.001941167884708338
6.946,0.020838,-0.0018830740838721104
6.948,0.020844,-0.0018237908930838292
6.95,0.02085,-0.0017633557568774365
6.952,0.020856,-0.0017018068473802907
6.954,0.020862,-0.0016391830402028326
6.956,0.020868,-0.0015755238898838805
6.958,0.020874,-0.00151086960490728
6.96,0.02088,-0.0014452610223051473
6.962,0.020886,-0.0013787395818644693
6.964,0.020892,-0.0013113472999528087
6.966,0.020898,-0.0012431267429798669
6.968,0.020904,-0.001174121000511626
6.97,0.020909999999999998,-0.0011043736580540573
6.972,0.020916,-0.0010339287695235392
6.974,0.020922,-0.0009628308294216208
6.976,0.020928,-0.0008911247447311014
6.978,0.020934,-0.000818855806551977
6.98,0.02094,-0.0007460696614945702
6.982,0.020946,-0.000672812282848154
6.984,0.020952000000000002,-0.0005991299415432362
6.986,0.020958,-0.000525069176925848
6.988,0.020964000000000003,-0.00045067676736225355
6.99,0.020970000000000003,-0.0003759997006928997
6.992,0.020976,-0.00030108514455363624
6.994,0.020982,-0.0002259804165838369
6.996,0.020988000000000003,-0.00015073295453930957
6.998,0.020994000000000002,-7.539028633001803e-05
7.0,0.021,-1.0287033112837767e-17
7.002,0.021006,7.539028632999747e-05
7.0040000000000004,0.021012000000000003,0.0001507329545393316
7.006,0.021018000000000002,0.0002259804165838164
7.008,0.021024,0.00030108514455361575
7.01,0.02103,0.0003759997006928792
7.0120000000000005,0.021036000000000003,0.0004506767673622753
7.014,0.021042,0.0005250691769258276
7.016,0.021048,0.000599129941543216
7.018,0.021054,0.000672812282848134
7.0200000000000005,0.021060000000000002,0.0007460696614945916
7.022,0.021066,0.0008188558065519572
7.024,0.021072,0.0008911247447310818
7.026,0.021078,0.0009628308294216013
